product_id,category,name,price,article,description,image_path,url,color,sizes,last_update
product_id,category,name,price,article,description,image_path,url,color,sizes,last_update
316705803704,Grade School Shoes,Nike Dunk Low,£ 65.00,316705803704,,data/images/footlocker/products/316705803704,https://www.footlocker.co.uk/en/product/nike-dunk-low-grade-school-shoes/316705803704.html,White-Univ Red,,2025-05-14 01:56:12
316702563004,Grade School Shoes,Nike Dunk Low,£ 70.00,316702563004,,data/images/footlocker/products/316702563004,https://www.footlocker.co.uk/en/product/nike-dunk-low-grade-school-shoes/316702563004.html,Pink Glaze-Pink Glaze-White,,2025-05-14 01:56:12
316706028004,Grade School Shoes,Nike Dunk Low,£ 55.00,316706028004,,data/images/footlocker/products/316706028004,https://www.footlocker.co.uk/en/product/nike-dunk-low-grade-school-shoes/316706028004.html,White-Lt Smoke Grey-White,,2025-05-14 01:56:12
316706532104,Grade School Shoes,Nike Dunk Low,£ 84.99,316706532104,,data/images/footlocker/products/316706532104,https://www.footlocker.co.uk/en/product/nike-dunk-low-grade-school-shoes/316706532104.html,Light Silver-Sail,,2025-05-14 01:56:12
316706534704,Grade School Shoes,Nike Dunk Low,£ 84.99,316706534704,,data/images/footlocker/products/316706534704,https://www.footlocker.co.uk/en/product/nike-dunk-low-grade-school-shoes/316706534704.html,White-Photon Dust,,2025-05-14 01:56:12
316706535404,Grade School Shoes,Nike Dunk Low,£ 84.99,316706535404,,data/images/footlocker/products/316706535404,https://www.footlocker.co.uk/en/product/nike-dunk-low-grade-school-shoes/316706535404.html,White-Hyper Royal,,2025-05-14 01:56:12
316163131804,Baby Shoes,Nike Dunk Low,£ 49.99,316163131804,,data/images/footlocker/products/316163131804,https://www.footlocker.co.uk/en/product/nike-dunk-low-baby-shoes/316163131804.html,White-White,,2025-05-14 01:56:12
316162092304,Baby Shoes,Nike Dunk Low,£ 49.99,316162092304,,data/images/footlocker/products/316162092304,https://www.footlocker.co.uk/en/product/nike-dunk-low-baby-shoes/316162092304.html,White-Hyper Royal,,2025-05-14 01:56:12
316706104904,Grade School Shoes,Nike Dunk High,£ 89.99,316706104904,,data/images/footlocker/products/316706104904,https://www.footlocker.co.uk/en/product/nike-dunk-high-grade-school-shoes/316706104904.html,White-Vintage Green,,2025-05-14 01:56:12
316706103104,Grade School Shoes,Nike Dunk High,£ 89.99,316706103104,,data/images/footlocker/products/316706103104,https://www.footlocker.co.uk/en/product/nike-dunk-high-grade-school-shoes/316706103104.html,White-Gym Red,,2025-05-14 01:56:12
314101996404,Men Shoes,Nike Air Force 1 Low,£ 109.99,314101996404,,data/images/footlocker/products/314101996404,https://www.footlocker.co.uk/en/product/nike-air-force-1-low-menshoes/314101996404.html,White-White,,2025-05-14 01:56:09
314102199404,Men Shoes,Nike Air Force 1 Low,£ 109.99,314102199404,,data/images/footlocker/products/314102199404,https://www.footlocker.co.uk/en/product/nike-air-force-1-low-menshoes/314102199404.html,White,,2025-05-14 01:56:09
314103103504,Men Shoes,Nike Air Force 1 Low,£ 100.00,314103103504,,data/images/footlocker/products/314103103504,https://www.footlocker.co.uk/en/product/nike-air-force-1-low-menshoes/314103103504.html,White-White-White,,2025-05-14 01:56:09
314103007804,Men Shoes,Nike Air Force 1 Low,£ 109.99,314103007804,,data/images/footlocker/products/314103007804,https://www.footlocker.co.uk/en/product/nike-air-force-1-low-menshoes/314103007804.html,Black-White-Black,,2025-05-14 01:56:09
